実験条件 (N),実験条件 (M),実験条件 (K),試行回数,平均 収束ステップ数,平均 近似比 (MAS/SA)
200,5,3,1000,3.56,0.9337
200,10,3,1000,3.86,0.8194
200,15,3,1000,4.37,0.7569
200,20,3,1000,4.34,0.6614
200,25,3,1000,4.55,0.6085
200,30,3,1000,5.49,0.6536
200,35,3,1000,5.8,0.6319
200,40,3,1000,4.79,0.5044
200,45,3,1000,5.45,0.5229
200,50,3,1000,4.96,0.4583
